S_sample,S,Phylum,sample,sample_1,sample_folder,MGX_cpn_RA,MTX_cpn_RA,MA_value,ratio,sum,MGX_humann_RA,MTX_humann_RA,humann_MTX_MGX_ratio,MGX_humann_RKPs,mtx_humann_RKPs,MGX_metaphlan_RA,"MGX_,metaphlan_RPKs",Reference_genome,num_uniref90s_ref,bPTR_coverage,bPTR_GC,overall_depth,iRep,raw_iRep,unfiltered_iRep,r2,status
s__Eubacterium_rectale-CSM5MCUC_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUC_P"",", CSM5MCUC_P,pilot,0.016869102,0,Inf,0,0.033738203,0.011112537,0.012656374,1.138927499,655611.7918,88905.25715,0.1975364,NA,GCA_000020605,2264,NA,n/a,10.87,,,,,
s__Eubacterium_rectale-CSM5MCUE_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUE_P"",", CSM5MCUE_P,pilot,0.006249997,0,Inf,0,0.012499994,0.003994231,0.002831033,0.708780436,176887.3186,10432.52332,0.09912208,NA,GCA_000020605,2261,NA,n/a,3.42,,,,,
s__Eubacterium_rectale-CSM5MCUG_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUG_P"",", CSM5MCUG_P,pilot,0.011754852,0.002567534,0.342370642,0.218423326,0.023509704,0.010243204,0.008269487,0.807314435,497512.4901,296806.9896,1.641262,NA,GCA_000020605,2651,NA,0.83132539,11.56,,,,,
s__Eubacterium_rectale-CSM5MCUK_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUK_P"",", CSM5MCUK_P,pilot,0.015329452,0,Inf,0,0.030658903,0.010558227,0.002258553,0.213914077,817839.2986,3081.847665,1.887665,NA,GCA_000020605,2685,NA,0.918081559,18.51,,,,,
s__Eubacterium_rectale-CSM5MCUO,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUO"",", CSM5MCUO,non-pilot,0.009756382,0.004353986,0.174267607,0.446270495,0.019512765,0.009082449,0.003046126,0.335386003,404601.91,54307.83581,1.526097,NA,GCA_000020605,2700,NA,1.496772447,10.9,,,,,
s__Eubacterium_rectale-CSM5MCUQ_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUQ_P"",", CSM5MCUQ_P,pilot,0.002017524,0.004620256,-0.13351506,2.290062277,0.004035048,0.001369998,0.002602369,1.899542993,86180.75772,32701.81412,0.0893666,NA,GCA_000020605,1332,NA,n/a,2.48,,,,,
s__Eubacterium_rectale-CSM5MCUW_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUW_P"",", CSM5MCUW_P,pilot,0.002458664,0,Inf,0,0.004917328,0.002527219,0.004353995,1.722840411,124724.5693,58609.23027,0.1322715,NA,GCA_000020605,1814,NA,n/a,2.83,,,,,
s__Eubacterium_rectale-CSM5MCUY_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCUY_P"",", CSM5MCUY_P,pilot,0.003919386,0,Inf,0,0.007838772,0.003865372,0.001538905,0.398125836,269531.2134,16072.81172,0.3777664,NA,GCA_000020605,2674,NA,1.486726547,4.92,,,,,
s__Eubacterium_rectale-CSM5MCVJ_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCVJ_P"",", CSM5MCVJ_P,pilot,0.002461826,0,Inf,0,0.004923653,0.002329625,0.005456096,2.342049347,63831.00637,4379.686841,0.175370423,NA,GCA_000020605,1728,NA,n/a,1.53,,,,,
s__Eubacterium_rectale-CSM5MCVN,s__Eubacterium_rectale,Firmicutes,"""CSM5MCVN"",", CSM5MCVN,non-pilot,0.008043243,0,Inf,0,0.016086485,0.008162691,0.000865283,0.106004589,154640.0396,12281.97752,0.9147009,NA,GCA_000020605,2345,NA,0.577460609,3.26,,,,,
s__Eubacterium_rectale-CSM5MCX3,s__Eubacterium_rectale,Firmicutes,"""CSM5MCX3"",", CSM5MCX3,non-pilot,0.026039102,0.000712469,0.986421213,0.027361499,0.052078204,0.023014302,0.005962229,0.259066246,684903.6227,73734.83589,3.703131,NA,GCA_000020605,2707,NA,1.147014053,18.58,,,,,
s__Eubacterium_rectale-CSM5MCXH,s__Eubacterium_rectale,Firmicutes,"""CSM5MCXH"",", CSM5MCXH,non-pilot,0.012279144,0,Inf,0,0.024558288,0.006787665,0.001150236,0.169459707,174342.2072,69162.13369,0.111921871,NA,GCA_000020605,2119,NA,n/a,3.88,,,,,
s__Eubacterium_rectale-CSM5MCXJ,s__Eubacterium_rectale,Firmicutes,"""CSM5MCXJ"",", CSM5MCXJ,non-pilot,0.049745508,0.001658487,1.13335598,0.033339433,0.099491017,0.02232065,0.00155382,0.069613581,555866.9747,95779.2157,0.5322799,NA,GCA_000020605,2200,NA,n/a,11.47,,,,,
s__Eubacterium_rectale-CSM5MCXL,s__Eubacterium_rectale,Firmicutes,"""CSM5MCXL"",", CSM5MCXL,non-pilot,0.033066135,0,Inf,0,0.06613227,0.019532556,0.002863209,0.146586478,645794.3856,79735.11968,0.451144507,NA,GCA_000020605,2246,NA,n/a,13.62,,,,,
s__Eubacterium_rectale-CSM5MCXN,s__Eubacterium_rectale,Firmicutes,"""CSM5MCXN"",", CSM5MCXN,non-pilot,0.094204939,0.005266228,1.220920054,0.055901823,0.188409878,0.075055326,0.008190732,0.109129261,2028780.163,221459.9679,7.846506,NA,GCA_000020605,2813,NA,0.847919805,41.38,,,,,
s__Eubacterium_rectale-CSM5MCXP,s__Eubacterium_rectale,Firmicutes,"""CSM5MCXP"",", CSM5MCXP,non-pilot,0.063012164,0.003383366,1.057888772,0.05369385,0.126024328,0.03155144,0.004281541,0.135700331,967785.0901,176443.2149,0.7183265,NA,GCA_000020605,2280,NA,n/a,19.85,,,,,
s__Eubacterium_rectale-CSM5MCXR,s__Eubacterium_rectale,Firmicutes,"""CSM5MCXR"",", CSM5MCXR,non-pilot,0.059347012,0,Inf,0,0.118694025,0.035519129,0.001581874,0.044535826,824253.7831,31705.86096,0.694254907,NA,GCA_000020605,2184,NA,n/a,16.62,,,,,
s__Eubacterium_rectale-CSM5MCXT,s__Eubacterium_rectale,Firmicutes,"""CSM5MCXT"",", CSM5MCXT,non-pilot,0.007711143,0.001796157,0.299484165,0.23293005,0.015422285,0.012435129,0.003885144,0.312432928,108173.0276,162507.6747,1.32066337,NA,GCA_000020605,2182,NA,1.445039019,2.61,,,,,
s__Eubacterium_rectale-CSM5MCY2,s__Eubacterium_rectale,Firmicutes,"""CSM5MCY2"",", CSM5MCY2,non-pilot,0.00453683,0.000625899,0.367118037,0.137959487,0.00907366,0.005486779,0.002595109,0.472974989,104546.2009,76729.68879,0.6384713,NA,GCA_000020605,2171,NA,1.162430643,3.02,,,,,
s__Eubacterium_rectale-CSM5MCY8,s__Eubacterium_rectale,Firmicutes,"""CSM5MCY8"",", CSM5MCY8,non-pilot,0.004789275,0,Inf,0,0.009578549,0.004414218,0.001002875,0.227191944,194777.7443,8215.163379,0.5046471,NA,GCA_000020605,2645,NA,1.714174721,4.38,,,,,
s__Eubacterium_rectale-CSM5MCZB,s__Eubacterium_rectale,Firmicutes,"""CSM5MCZB"",", CSM5MCZB,non-pilot,0.051061183,0.021897095,0.284620921,0.428840343,0.102122366,0.03119215,0.010103634,0.323915913,941601.3564,305206.3556,0.6839276,NA,GCA_000020605,2354,NA,n/a,20.25,,,,,
s__Eubacterium_rectale-CSM5MCZD,s__Eubacterium_rectale,Firmicutes,"""CSM5MCZD"",", CSM5MCZD,non-pilot,0.086937804,0,Inf,0,0.173875608,0.06011783,0.004366726,0.072636118,1953535.347,39813.50587,5.515844293,NA,GCA_000020605,2831,NA,0.762186467,40,,,,,
s__Eubacterium_rectale-CSM5MCZF,s__Eubacterium_rectale,Firmicutes,"""CSM5MCZF"",", CSM5MCZF,non-pilot,0.047084771,0,Inf,0,0.094169543,0.040448649,0.004251689,0.105113247,833383.2956,27436.41483,2.904891896,NA,GCA_000020605,2772,NA,0.74363867,16.94,,,,,
s__Eubacterium_rectale-CSM67U9D,s__Eubacterium_rectale,Firmicutes,"""CSM67U9D"",", CSM67U9D,non-pilot,0.059533393,0.003272804,1.028240412,0.054974257,0.119066786,0.042872841,0.005842151,0.136266932,1158473.673,114620.4308,5.26865,NA,GCA_000020605,2782,NA,1.06,23.56,,,,,
s__Eubacterium_rectale-CSM67U9H,s__Eubacterium_rectale,Firmicutes,"""CSM67U9H"",", CSM67U9H,non-pilot,0.116191552,0.019106465,0.838653057,0.164439362,0.232383105,0.07477188,0.019521781,0.261084523,1099032.358,382473.8315,11.05856,NA,GCA_000020605,2699,NA,0.73,22.18,,,,,
s__Eubacterium_rectale-CSM67UAA,s__Eubacterium_rectale,Firmicutes,"""CSM67UAA"",", CSM67UAA,non-pilot,0.003863124,0,Inf,0,0.007726249,0.001833096,NA,NA,34441.73132,NA,0.074090793,NA,GCA_000020605,419,NA,NA,1.35,,,,,
s__Eubacterium_rectale-CSM67UBH,s__Eubacterium_rectale,Firmicutes,"""CSM67UBH"",", CSM67UBH,non-pilot,0.022854988,0.010160238,0.214547854,0.444552335,0.045709976,0.019525592,0.001652386,0.084626687,486053.377,19658.00503,2.202957085,NA,GCA_000020605,2552,NA,0.45,9.77,,,,,
s__Eubacterium_rectale-CSM67UBN,s__Eubacterium_rectale,Firmicutes,"""CSM67UBN"",", CSM67UBN,non-pilot,0.030935113,0.014827645,0.211572903,0.479314408,0.061870225,0.019635794,0.00608222,0.309751698,329330.3595,77805.75034,1.97490365,NA,GCA_000020605,2475,NA,0.28,6.66,,,,,
s__Eubacterium_rectale-CSM67UDF,s__Eubacterium_rectale,Firmicutes,"""CSM67UDF"",", CSM67UDF,non-pilot,0.028243015,0,Inf,0,0.056486031,0.013590995,0.005363871,0.394663618,283386.038,94620.51983,0.2058414,NA,GCA_000020605,2156,NA,n/a,5.96,,,,,
s__Eubacterium_rectale-CSM67UDJ,s__Eubacterium_rectale,Firmicutes,"""CSM67UDJ"",", CSM67UDJ,non-pilot,0.041391919,0.008594731,0.493594787,0.20764273,0.082783838,0.022818787,0.009463754,0.414735163,624028.7091,246165.9936,0.5269109,NA,GCA_000020605,2232,NA,n/a,13.1,,,,,
s__Eubacterium_rectale-CSM67UDN,s__Eubacterium_rectale,Firmicutes,"""CSM67UDN"",", CSM67UDN,non-pilot,0.065990481,0,Inf,0,0.131980963,0.036820808,0.005351744,0.145345638,900165.9766,143248.3306,0.6942959,NA,GCA_000020605,2237,NA,n/a,18.69,,,,,
s__Eubacterium_rectale-CSM67UDR,s__Eubacterium_rectale,Firmicutes,"""CSM67UDR"",", CSM67UDR,non-pilot,0.039831946,0.00447859,0.678033722,0.112437134,0.079663891,0.031644224,0.017309576,0.547005863,352163.2158,596855.5113,0.608331809,NA,GCA_000020605,2232,NA,n/a,7.62,,,,,
s__Eubacterium_rectale-CSM67UDR_TR,s__Eubacterium_rectale,Firmicutes,"""CSM67UDR_TR"",", CSM67UDR_TR,non-pilot,0.039457127,0.006110508,0.577008905,0.154864504,0.078914254,0.033036188,0.013922944,0.421445225,656874.4083,537170.9067,0.618485189,NA,GCA_000020605,2288,NA,n/a,14.2,,,,,
s__Eubacterium_rectale-CSM67UDY,s__Eubacterium_rectale,Firmicutes,"""CSM67UDY"",", CSM67UDY,non-pilot,0.017914873,0,Inf,0,0.035829746,0.01113893,0.004064998,0.364936148,176558.1721,84653.15012,0.169084344,NA,GCA_000020605,2143,NA,n/a,3.82,,,,,
s__Eubacterium_rectale-CSM67UE7,s__Eubacterium_rectale,Firmicutes,"""CSM67UE7"",", CSM67UE7,non-pilot,0.170226285,0,Inf,0,0.34045257,0.132129209,0.014099393,0.106709132,3015845.28,125193.6761,17.41897,NA,GCA_000020605,2721,NA,0.713558525,58.88,,,,,
s__Eubacterium_rectale-CSM67UEA,s__Eubacterium_rectale,Firmicutes,"""CSM67UEA"",", CSM67UEA,non-pilot,0.00311134,0,Inf,0,0.00622268,0.005675683,0.005667663,0.998587004,138258.3648,90069.38137,0.3863046,NA,GCA_000020605,2015,NA,n/a,3.05,,,,,
s__Eubacterium_rectale-CSM67UFZ,s__Eubacterium_rectale,Firmicutes,"""CSM67UFZ"",", CSM67UFZ,non-pilot,0.013882916,0,Inf,0,0.027765832,0.011812583,0.004983168,0.421852538,315966.3362,94739.87973,1.398439,NA,GCA_000020605,2640,NA,1.061850101,6.66,,,,,
s__Eubacterium_rectale-CSM67UGO,s__Eubacterium_rectale,Firmicutes,"""CSM67UGO"",", CSM67UGO,non-pilot,0.203747239,0,Inf,0,0.407494478,0.152447371,0.006719278,0.044076051,1770525.241,87971.46586,18.41907754,NA,GCA_000020605,2795,NA,0.689236359,34.45,,,,,
s__Eubacterium_rectale-CSM79HGF,s__Eubacterium_rectale,Firmicutes,"""CSM79HGF"",", CSM79HGF,non-pilot,0.04721794,0,Inf,0,0.09443588,0.050842152,0.003286084,0.064633071,349314.9177,28079.71141,7.842012178,NA,GCA_000020605,2649,NA,0.823941376,8.98,,,,,
s__Eubacterium_rectale-CSM79HJW,s__Eubacterium_rectale,Firmicutes,"""CSM79HJW"",", CSM79HJW,non-pilot,0.002598986,0.015183926,-0.296526896,5.842250483,0.005197972,0.002725914,0.000908774,0.33338319,73099.5483,12152.11724,0.2056533,NA,GCA_000020605,1790,NA,NA,1.85,,,,,
s__Eubacterium_rectale-CSM79HKB,s__Eubacterium_rectale,Firmicutes,"""CSM79HKB"",", CSM79HKB,non-pilot,0.002025482,0,Inf,0,0.004050963,0.003862512,0.006206964,1.606975789,79854.64901,78617.23157,0.1641689,NA,GCA_000020605,827,NA,NA,1.7,,,,,
s__Eubacterium_rectale-CSM79HLA,s__Eubacterium_rectale,Firmicutes,"""CSM79HLA"",", CSM79HLA,non-pilot,0.094081539,0,Inf,0,0.188163077,0.051481015,0.00543856,0.105642059,1804072.728,104299.1353,1.335529724,NA,GCA_000020605,2330,NA,NA,37.59,,,,,
s__Eubacterium_rectale-CSM79HLA_TR,s__Eubacterium_rectale,Firmicutes,"""CSM79HLA_TR"",", CSM79HLA_TR,non-pilot,0.073295982,0,Inf,0,0.146591964,0.042399302,0.005493845,0.129573958,894897.4869,150394.5508,1.094991558,NA,GCA_000020605,2277,NA,NA,19.79,,,,,
s__Eubacterium_rectale-CSM79HLC,s__Eubacterium_rectale,Firmicutes,"""CSM79HLC"",", CSM79HLC,non-pilot,0.054664924,0,Inf,0,0.109329848,0.035141321,0.0013746,0.039116329,1123106.997,42075.58719,0.7054141,NA,GCA_000020605,2278,NA,NA,23.24,,,,,
s__Eubacterium_rectale-CSM79HLE,s__Eubacterium_rectale,Firmicutes,"""CSM79HLE"",", CSM79HLE,non-pilot,0.041742037,0.004622312,0.692834622,0.110735191,0.083484074,0.022034613,0.01192969,0.541406843,418483.7618,684422.3499,0.3480737,NA,GCA_000020605,2188,NA,NA,8.73,,,,,
s__Eubacterium_rectale-CSM79HLG,s__Eubacterium_rectale,Firmicutes,"""CSM79HLG"",", CSM79HLG,non-pilot,0.058116868,0.01171439,0.56290667,0.201566089,0.116233737,0.031877438,0.010713409,0.336081247,855045.9948,223187.9889,0.9508325,NA,GCA_000020605,2269,NA,n/a,17.87,,,,,
s__Eubacterium_rectale-CSM79HMT,s__Eubacterium_rectale,Firmicutes,"""CSM79HMT"",", CSM79HMT,non-pilot,0.007830799,0,Inf,0,0.015661598,0.006528009,NA,NA,166144.2789,NA,0.667467063,NA,GCA_000020605,2476,NA,1.233622484,3.7,,,,,
s__Eubacterium_rectale-CSM79HOL,s__Eubacterium_rectale,Firmicutes,"""CSM79HOL"",", CSM79HOL,non-pilot,0.024696618,0.003027481,0.567112921,0.122586869,0.049393237,0.021030348,0.004257039,0.202423629,779429.114,47742.36012,1.80991,NA,GCA_000020605,2786,NA,1.264941601,15.43,,,,,
s__Eubacterium_rectale-CSM79HPK,s__Eubacterium_rectale,Firmicutes,"""CSM79HPK"",", CSM79HPK,non-pilot,0.030521576,0.012615051,0.253213481,0.413315842,0.061043152,0.01621786,0.003729607,0.229969114,435659.8989,377967.5435,3.472274,NA,GCA_000020605,2734,NA,1.099047992,11.16,,,,,
s__Eubacterium_rectale-CSM79HPS,s__Eubacterium_rectale,Firmicutes,"""CSM79HPS"",", CSM79HPS,non-pilot,0.02158164,0,Inf,0,0.043163279,0.016083029,0.005376731,0.334310859,359237.2854,34187.08977,2.526793,NA,GCA_000020605,2646,NA,0.897848189,9.28,,,,,
s__Eubacterium_rectale-CSM7KOL4,s__Eubacterium_rectale,Firmicutes,"""CSM7KOL4"",", CSM7KOL4,non-pilot,0.001914126,0,Inf,0,0.003828251,0.003893906,0.00600245,1.541498359,139252.898,38750.06641,0.1141181,NA,GCA_000020605,1168,NA,n/a,3.04,,,,,
s__Eubacterium_rectale-CSM7KOLA,s__Eubacterium_rectale,Firmicutes,"""CSM7KOLA"",", CSM7KOLA,non-pilot,0.004180391,0.001447008,0.193689799,0.346141741,0.008360781,0.014957607,0.006116593,0.408928604,405520.9579,155818.2096,0.623325554,NA,GCA_000020605,2584,NA,n/a,9.97,,,,,
s__Eubacterium_rectale-CSM7KOLE,s__Eubacterium_rectale,Firmicutes,"""CSM7KOLE"",", CSM7KOLE,non-pilot,0.017799845,0.000112443,1.257146478,0.006317088,0.03559969,0.020219314,0.003978497,0.196767167,283491.652,108619.2512,1.434869316,NA,GCA_000020605,2573,NA,1.545950233,5.34,,,,,
s__Eubacterium_rectale-CSM7KON2,s__Eubacterium_rectale,Firmicutes,"""CSM7KON2"",", CSM7KON2,non-pilot,0.035047305,0.003579948,0.680785434,0.102146165,0.07009461,0.026670486,0.005012675,0.187948387,457407.1862,165008.9425,1.304054,NA,GCA_000020605,2689,NA,1.12,9.82,,,,,
s__Eubacterium_rectale-CSM7KON8,s__Eubacterium_rectale,Firmicutes,"""CSM7KON8"",", CSM7KON8,non-pilot,0.033939413,0,Inf,0,0.067878826,0.028424014,0.011579404,0.407381018,610709.6209,438.7981486,2.11584,NA,GCA_000020605,2768,NA,1.20856489,12.91,,,,,
s__Eubacterium_rectale-CSM7KONU,s__Eubacterium_rectale,Firmicutes,"""CSM7KONU"",", CSM7KONU,non-pilot,0.091766645,0,Inf,0,0.18353329,0.075916304,0.007673845,0.101082966,94034.66613,9897.821344,7.18026296,NA,GCA_000020605,2078,NA,0.67247186,1.93,,,,,
s__Eubacterium_rectale-CSM5MCV1_P,s__Eubacterium_rectale,Firmicutes,"""CSM5MCV1_P"",", CSM5MCV1_P,pilot,0.010077345,0.008142467,0.04637263,0.807997299,0.02015469,0.006033897,0.008300206,1.375596132,115401.608,939781.745,0.017079801,NA,GCA_001405295,1972,NA,NA,NA,,,,,
s__Eubacterium_rectale-CSM7KOMP,s__Eubacterium_rectale,Firmicutes,"""CSM7KOMP"",", CSM7KOMP,non-pilot,0.001702096,0,Inf,0,0.003404192,0.002899694,0.004421712,1.524889268,134933.0371,161.7792736,0.1712117,NA,GCA_001406375,1489,NA,NA,NA,,,,,
s__Eubacterium_rectale-CSM7KOMT,s__Eubacterium_rectale,Firmicutes,"""CSM7KOMT"",", CSM7KOMT,non-pilot,0.011699559,0.000997125,0.553578461,0.085227596,0.023399118,0.012450038,0.003151531,0.253134225,474625.4083,51345.56852,2.114257059,NA,GCA_001406375,2719,NA,NA,NA,,,,,
s__Eubacterium_rectale-CSM5MCY4,s__Eubacterium_rectale,Firmicutes,"""CSM5MCY4"",", CSM5MCY4,non-pilot,0.001028621,0,Inf,0,0.002057243,0.001331493,0.002082517,1.564047118,35953.93096,16479.97346,0.0748324,NA,GCA_003438715,561,NA,NA,NA,,,,,
s__Eubacterium_rectale-CSM67UEW,s__Eubacterium_rectale,Firmicutes,"""CSM67UEW"",", CSM67UEW,non-pilot,0.000644605,0,Inf,0,0.00128921,0.007541052,0.001200296,0.159168234,71331.98039,40.15626743,0.019727282,NA,GCA_003438715,560,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5FZ4G_P,s__Eubacterium_siraeum,Firmicutes,"""CSM5FZ4G_P"",", CSM5FZ4G_P,pilot,0.01227356,0,Inf,0,0.024547121,0.019188671,0.003032056,0.15801282,483458.4222,73130.23613,0.9835781,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5MCU8_P,s__Eubacterium_siraeum,Firmicutes,"""CSM5MCU8_P"",", CSM5MCU8_P,pilot,0.001773977,0,Inf,0,0.003547954,0.002259866,0.00041723,0.18462605,41492.36886,6605.185905,0.08108458,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5MCUQ_P,s__Eubacterium_siraeum,Firmicutes,"""CSM5MCUQ_P"",", CSM5MCUQ_P,pilot,0.008428795,0,Inf,0,0.016857589,0.010341035,0.00065112,0.06296469,245788.1247,2945.708516,0.6122438,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5MCWQ,s__Eubacterium_siraeum,Firmicutes,"""CSM5MCWQ"",", CSM5MCWQ,non-pilot,0.009018261,0,Inf,0,0.018036521,0.015513815,0.001657836,0.106861904,134275.6157,16030.62563,0.6413632,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5MCXT,s__Eubacterium_siraeum,Firmicutes,"""CSM5MCXT"",", CSM5MCXT,non-pilot,0.060924089,0.001937465,1.232341719,0.031801297,0.121848177,0.10285427,0.027507596,0.267442428,338062.8158,414233.4778,4.994547288,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5MCY2,s__Eubacterium_siraeum,Firmicutes,"""CSM5MCY2"",", CSM5MCY2,non-pilot,0.036903454,0,Inf,0,0.073806909,0.047722498,0.009319007,0.19527491,343574.023,99198.05644,2.533755,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5MCZD,s__Eubacterium_siraeum,Firmicutes,"""CSM5MCZD"",", CSM5MCZD,non-pilot,0.006733907,0,Inf,0,0.013467815,0.011831854,0.000687943,0.058143268,145270.4078,2258.148552,0.465168444,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM5MCZF,s__Eubacterium_siraeum,Firmicutes,"""CSM5MCZF"",", CSM5MCZF,non-pilot,0.012684804,0,Inf,0,0.025369608,0.0152061,0.003970014,0.261080386,118376.3626,9223.245053,0.551849267,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM67U9D,s__Eubacterium_siraeum,Firmicutes,"""CSM67U9D"",", CSM67U9D,non-pilot,0.03814651,0.007388679,0.502548689,0.193692129,0.076293019,0.07346323,0.021416322,0.29152437,750032.8898,151272.4894,3.492296,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM67UC6,s__Eubacterium_siraeum,Firmicutes,"""CSM67UC6"",", CSM67UC6,non-pilot,0.00153543,0,Inf,0,0.003070861,0.003086829,0.000256925,0.083232658,49459.95523,2898.347744,0.1081243,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM67UCK,s__Eubacterium_siraeum,Firmicutes,"""CSM67UCK"",", CSM67UCK,non-pilot,0.060745702,0,Inf,0,0.121491404,0.09574499,0.014617405,0.152670181,691585.6672,62384.81079,5.082105589,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM67UE7,s__Eubacterium_siraeum,Firmicutes,"""CSM67UE7"",", CSM67UE7,non-pilot,0.020713501,0,Inf,0,0.041427003,0.038709843,0.00327637,0.084639189,333839.7257,10473.71245,1.729613,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM67UEA,s__Eubacterium_siraeum,Firmicutes,"""CSM67UEA"",", CSM67UEA,non-pilot,0.063091382,0,Inf,0,0.126182764,0.084074371,0.015299936,0.181980973,773825.9532,87536.36713,4.510093,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM79HKB,s__Eubacterium_siraeum,Firmicutes,"""CSM79HKB"",", CSM79HKB,non-pilot,0.034223796,0,Inf,0,0.068447593,0.049132702,0.010207259,0.207748779,383802.1203,46545.04435,2.689561,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM79HPS,s__Eubacterium_siraeum,Firmicutes,"""CSM79HPS"",", CSM79HPS,non-pilot,0.003635388,0,Inf,0,0.007270775,0.005872604,0.001184124,0.201635337,49562.20955,2710.609392,0.2827518,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM7KOL4,s__Eubacterium_siraeum,Firmicutes,"""CSM7KOL4"",", CSM7KOL4,non-pilot,0.040304304,0,Inf,0,0.080608609,0.047577571,0.010050848,0.211251801,642876.3332,23359.97596,2.571693,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM7KOLA,s__Eubacterium_siraeum,Firmicutes,"""CSM7KOLA"",", CSM7KOLA,non-pilot,0.001337654,0,Inf,0,0.002675309,0.003991675,0.001868906,0.468200964,40889.59185,17140.43686,0.06201017,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_siraeum-CSM7KOLE,s__Eubacterium_siraeum,Firmicutes,"""CSM7KOLE"",", CSM7KOLE,non-pilot,0.009005937,0,Inf,0,0.018011874,0.008281223,0.002770849,0.334594207,43870.71602,27234.94036,0.253608387,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM5MCUG_P,s__Eubacterium_sp_36_13,Firmicutes,"""CSM5MCUG_P"",", CSM5MCUG_P,pilot,0.00324449,0,Inf,0,0.006488981,0.005111024,0.002126157,0.415994408,44287.48679,4959.246293,0.1275188,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM5MCUQ_P,s__Eubacterium_sp_36_13,Firmicutes,"""CSM5MCUQ_P"",", CSM5MCUQ_P,pilot,0.001050848,0,Inf,0,0.002101696,0.000866171,5.67E-06,0.006540751,9720.740234,4.626569729,0.02261685,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM5MCUW_P,s__Eubacterium_sp_36_13,Firmicutes,"""CSM5MCUW_P"",", CSM5MCUW_P,pilot,0.002509009,0,Inf,0,0.005018017,0.003428204,3.88E-05,0.011324711,30184.28092,33.96226415,0.07074447,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM5MCUY_P,s__Eubacterium_sp_36_13,Firmicutes,"""CSM5MCUY_P"",", CSM5MCUY_P,pilot,0.002126681,0,Inf,0,0.004253363,0.004107344,0,0,51095.63092,0,0.07806539,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM5MCX3,s__Eubacterium_sp_36_13,Firmicutes,"""CSM5MCX3"",", CSM5MCX3,non-pilot,0.001747485,0,Inf,0,0.00349497,0.000768517,0.000276434,0.359698259,4080.282368,222.1675922,0.04331292,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM5MCY4,s__Eubacterium_sp_36_13,Firmicutes,"""CSM5MCY4"",", CSM5MCY4,non-pilot,0.003619592,0,Inf,0,0.007239183,0.00217371,0,0,10471.62623,0,0.04818401,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM5MCY8,s__Eubacterium_sp_36_13,Firmicutes,"""CSM5MCY8"",", CSM5MCY8,non-pilot,0.004084019,0,Inf,0,0.008168038,0.005485545,0,0,43182.75291,0,0.138559,NA,,NA,NA,NA,NA,,,,,
s__Eubacterium_sp_36_13-CSM67UEW,s__Eubacterium_sp_36_13,Firmicutes,"""CSM67UEW"",", CSM67UEW,non-pilot,0.002782178,0,Inf,0,0.005564355,0.000649255,0,0,1095.652154,0,0.017402998,NA,,NA,NA,NA,NA,,,,,
