# OTU,S13,S16,S11,S14,S17,S15,S18,S20,S12,S19,taxonomy
Taxa_2655,0,0,0,0,106,0,132,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium;s__Cardiobacterium_hominis
Taxa_632,0,0,0,0,5,0,17,0,0,0,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Anaeroglobus;s__Anaeroglobus_geminatus
Taxa_8486,0,18,0,1,15,14,18,9,0,10,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__mesophilicum
Taxa_4449,0,0,0,0,24,1,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia_dentocariosa_8
Taxa_8488,0,29,0,1,87,46,77,13,0,7,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__organophilum
Taxa_8437,0,28,0,36,12,21,56,128,161,101,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_UFLA03_84_4
Taxa_8038,0,0,0,0,36,32,28,92,49,9,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_67_41_2
Taxa_9024,0,0,3097,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis
Taxa_4838,0,0,0,0,17,1,8,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium;s__4
Taxa_5071,0,0,1321,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum_2
Taxa_5190,0,2,0,0,154,850,113,0,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__C_kefirresidentii_2
Taxa_4640,0,0,0,0,2,65,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__M_obuense_2
Taxa_9022,0,0,12,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_indistinctus
